row_type,cell_id,transform,measurability,drawing_id,param_idx,param,n_lid,n_flip,violation_frac,r_meta,verdict
obs,F01,translate,MEASURABLE,high_quality_4893,1,"{""dx_over_D"":10.0,""dy_over_D"":10.0}",601,0,0.00000000,,
obs,F01,translate,MEASURABLE,high_quality_4893,2,"{""dx_over_D"":-10.0,""dy_over_D"":3.0}",601,0,0.00000000,,
obs,F01,translate,MEASURABLE,high_quality_5011,0,"{""dx_over_D"":0.1,""dy_over_D"":-0.2}",766,0,0.00000000,,
obs,F01,translate,MEASURABLE,high_quality_5011,1,"{""dx_over_D"":10.0,""dy_over_D"":10.0}",766,0,0.00000000,,
obs,F01,translate,MEASURABLE,high_quality_5011,2,"{""dx_over_D"":-10.0,""dy_over_D"":3.0}",766,0,0.00000000,,
obs,F01,translate,MEASURABLE,high_quality_5080,0,"{""dx_over_D"":0.1,""dy_over_D"":-0.2}",620,0,0.00000000,,
obs,F01,translate,MEASURABLE,high_quality_5080,1,"{""dx_over_D"":10.0,""dy_over_D"":10.0}",620,0,0.00000000,,
obs,F01,translate,MEASURABLE,high_quality_5080,2,"{""dx_over_D"":-10.0,""dy_over_D"":3.0}",620,0,0.00000000,,
obs,F01,translate,MEASURABLE,high_quality_5133,0,"{""dx_over_D"":0.1,""dy_over_D"":-0.2}",297,0,0.00000000,,
obs,F01,translate,MEASURABLE,high_quality_5133,1,"{""dx_over_D"":10.0,""dy_over_D"":10.0}",297,0,0.00000000,,
obs,F01,translate,MEASURABLE,high_quality_5133,2,"{""dx_over_D"":-10.0,""dy_over_D"":3.0}",297,0,0.00000000,,
obs,F01,translate,MEASURABLE,high_quality_5668,0,"{""dx_over_D"":0.1,""dy_over_D"":-0.2}",341,0,0.00000000,,
obs,F01,translate,MEASURABLE,high_quality_5668,1,"{""dx_over_D"":10.0,""dy_over_D"":10.0}",341,0,0.00000000,,
obs,F01,translate,MEASURABLE,high_quality_5668,2,"{""dx_over_D"":-10.0,""dy_over_D"":3.0}",341,0,0.00000000,,
obs,F01,translate,MEASURABLE,high_quality_5682,0,"{""dx_over_D"":0.1,""dy_over_D"":-0.2}",581,0,0.00000000,,
obs,F01,translate,MEASURABLE,high_quality_5682,1,"{""dx_over_D"":10.0,""dy_over_D"":10.0}",581,0,0.00000000,,
obs,F01,translate,MEASURABLE,high_quality_5682,2,"{""dx_over_D"":-10.0,""dy_over_D"":3.0}",581,0,0.00000000,,
obs,F01,translate,MEASURABLE,high_quality_5690,0,"{""dx_over_D"":0.1,""dy_over_D"":-0.2}",1060,0,0.00000000,,
obs,F01,translate,MEASURABLE,high_quality_5690,1,"{""dx_over_D"":10.0,""dy_over_D"":10.0}",1060,0,0.00000000,,
obs,F01,translate,MEASURABLE,high_quality_5690,2,"{""dx_over_D"":-10.0,""dy_over_D"":3.0}",1060,0,0.00000000,,
obs,F01,translate,MEASURABLE,high_quality_5767,0,"{""dx_over_D"":0.1,""dy_over_D"":-0.2}",586,0,0.00000000,,
obs,F01,translate,MEASURABLE,high_quality_5767,1,"{""dx_over_D"":10.0,""dy_over_D"":10.0}",586,0,0.00000000,,
obs,F01,translate,MEASURABLE,high_quality_5767,2,"{""dx_over_D"":-10.0,""dy_over_D"":3.0}",586,0,0.00000000,,
obs,F01,translate,MEASURABLE,high_quality_5773,0,"{""dx_over_D"":0.1,""dy_over_D"":-0.2}",604,0,0.00000000,,
obs,F01,translate,MEASURABLE,high_quality_5773,1,"{""dx_over_D"":10.0,""dy_over_D"":10.0}",604,0,0.00000000,,
